name,city,price,rooms,area,price_per_m2,link,forma_wlasnosci,stan_wykonczenia,pietro,balkon,czynsz,parking,ogrzewanie
3-pokojowe mieszkanie 75m2 + ogródek Bezpośrednio,Warszawa,Zapytajocenę,3 pokoje,75,,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-75m2-ogrodek-bezposrednio-ID4kvTd,pełna własność,do wykończenia,parter/1,ogródek,,,
Bielany Rokokowa 130 bezczynszowy apartament,Warszawa,1 890 000 ,5 pokoi,172,10 988 ,https://www.otodom.pl/oferta/bielany-rokokowa-130-bezczynszowy-apartament-ID4hZDN,pełna własność,do wykończenia,parter/5,"ogródek, taras",,garaż/miejsce parkingowe,gazowe
"Piękne, słoneczne mieszkanie z loggią - Gocław",Warszawa,580 000 ,2 pokoje,40.2,14 428 ,https://www.otodom.pl/oferta/piekne-sloneczne-mieszkanie-z-loggia-goclaw-ID4kI2z,pełna własność,do zamieszkania,1/12,balkon,560,,miejskie
"Przestronne, po remoncie 77 m2 na Kabatach!",Warszawa,999 000 ,3 pokoje,77,12 974 ,https://www.otodom.pl/oferta/przestronne-po-remoncie-77-m2-na-kabatach-ID4knnh,pełna własność,do zamieszkania,2/3,balkon,,garaż/miejsce parkingowe,miejskie
4-pokojowe mieszkanie 88m2 + taras Bezpośrednio,Warszawa,1 201 365 ,4 pokoje,88.99,13 500 ,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-88m2-taras-bezposrednio-ID4irGk,pełna własność,do wykończenia,4/4,taras,,garaż/miejsce parkingowe,
"Grochów/Saska Kępa 50m, 2 pok, wysokie, balkon",Warszawa,595 000 ,2 pokoje,50.01,11 898 ,https://www.otodom.pl/oferta/grochow-saska-kepa-50m-2-pok-wysokie-balkon-ID4jog1,pełna własność,do zamieszkania,3/3,balkon,951,,miejskie
3-pokojowe mieszkanie 55m2 + ogródek Bezpośrednio,Warszawa,727 610 ,3 pokoje,55.97,13 000 ,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-55m2-ogrodek-bezposrednio-ID4irGd,pełna własność,do wykończenia,parter/4,"taras, ogródek",,garaż/miejsce parkingowe,
6-pokojowe mieszkanie 173m2 + ogródek Bezpośrednio,Warszawa,1 783 445 ,6 pokoi,173.15,10 300 ,https://www.otodom.pl/oferta/6-pokojowe-mieszkanie-173m2-ogrodek-bezposrednio-ID4jEFz,pełna własność,do wykończenia,2/2,"taras, balkon, ogródek",,garaż/miejsce parkingowe,
3-pokojowe mieszkanie 62m2 + balkon Bezpośrednio,Warszawa,Zapytajocenę,3 pokoje,62.11,,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-62m2-balkon-bezposrednio-ID4c9jO,pełna własność,do wykończenia,1/4,balkon,,garaż/miejsce parkingowe,
2-pokojowe mieszkanie 38m2 + ogródek Bezpośrednio,Warszawa,654 075 ,2 pokoje,38.25,17 100 ,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-38m2-ogrodek-bezposrednio-ID4kgwz,pełna własność,do wykończenia,parter/2,"taras, ogródek",,garaż/miejsce parkingowe,
2-pokojowe mieszkanie 41m2 + loggia,Warszawa,566 730 ,2 pokoje,41.98,13 500 ,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-41m2-loggia-ID4irGD,pełna własność,do wykończenia,1/4,,,garaż/miejsce parkingowe,
2-pokojowe mieszkanie 44m2 + 2 ogródki,Warszawa,Zapytajocenę,2 pokoje,44.53,,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-44m2-2-ogrodki-ID4c9kg,pełna własność,do wykończenia,parter/4,"taras, ogródek",,garaż/miejsce parkingowe,
1-pokojowe mieszkanie 39m2 + ogródek,Warszawa,569 705 ,1 pokój,39.29,14 500 ,https://www.otodom.pl/oferta/1-pokojowe-mieszkanie-39m2-ogrodek-ID4irGq,pełna własność,do wykończenia,parter/4,"taras, ogródek",,garaż/miejsce parkingowe,
4-pokojowe mieszkanie 126m2 + ogródek Bezpośrednio,Warszawa,1 304 804 ,4 pokoje,126.68,10 300 ,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-126m2-ogrodek-bezposrednio-ID4jBfC,pełna własność,do wykończenia,2/2,"taras, ogródek",,garaż/miejsce parkingowe,
